Titel;Tekst vraagteken
Schaduw wandel- en fietspaden;Deze statistieken laten het percentage schaduw zien op wandel- en fietspaden. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, omdat dit de langste dag van het jaar is met de kortste schaduwen. In de Maatlat groene klimaatadaptieve gebouwde omgeving   wordt hiervoor een streefwaarde van 30% op buurtniveau genoemd. De fiets- en wandelpaden komen uit de Basiskaart Grootschalige Topografie. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Maximale overstromingsdiepte;Deze statistieken toont welke waterdiepten kunnen voorkomen bij een overstroming met een extreem kleine kans (1:100.000 jaar). Per diepteklasse verschillen de gevolgen. Ook de mogelijke maatregelen voor gevolgbeperking verschillen per diepteklasse. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Droge verdiepingen;Deze statistieken tonen hoeveel % van de gebouwen in de buurt een droge verdieping heeft bij een overstroming met een extreem kleine kans (1:100.000 jaar). Deze informatie kan interessant zijn bij het verkennen van maatregelen bij een diepe overstroming. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Boomkroonoppervlakte;Deze statistieken laten zien wat het totale oppervlakte en percentage boomkroonoppervlakte is per buurt. Voor het bepalen van het boomkroonoppervlakte is gebruik gemaakt van het Actueel Hoogtebestand Nederland als broninformatie. Meer informatie over de gevolgde methode vind je in het kaartverhaal
Boomkroonoppervlakte openbaar;Deze statistieken laten zien wat het percentage boomkroonoppervlakte is binnen het openbare gebied.  Voor het bepalen van het boomkroonoppervlakte is gebruik gemaakt van het Actueel Hoogtebestand Nederland als broninformatie. Voor het bepalen van het openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Meer informatie over de gevolgde methode vind je in het kaartverhaal
Boomkroonoppervlakte niet-openbaar ;Deze statistieken laten zien wat het percentage boomkroonoppervlakte is binnen het niet-openbare gebied.  Voor het bepalen van het boomkroonoppervlakte is gebruik gemaakt van het Actueel Hoogtebestand Nederland als broninformatie. Voor het bepalen van het niet-openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Meer informatie over de gevolgde methode vind je in het kaartverhaal
Groen;Deze statistieken tonen het percentage groen op basis van de Basiskaart Groen en verharding. Uit de Totaalkaart worden de gebieden met boomkroonbedekking, struiken en onverhard - gras opgeteld en weergeven als percentage van het totale landoppervlakte. Agrarisch gebied is niet als groen meegenomen. De klasse onverhard is ook niet als groen meegenomen, hoewel deze wel groen kan zijn. Meer informatie over de gevolgde methode vind je in het kaartverhaal.
Groen openbaar;Deze statistieken tonen het percentage groen in het openbaar gebied op basis van de Basiskaart Groen en verharding. Uit de Totaalkaart worden de gebieden met boomkroonbedekking, struiken en onverhard - gras opgeteld. Agrarisch gebied is niet als groen meegenomen. De klasse onverhard is ook niet als groen meegenomen, hoewel deze wel groen kan zijn. Voor het bepalen van het openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Groen niet-openbaar;Deze statistieken tonen het percentage groen in niet-openbaar gebied op basis van de Basiskaart Groen en verharding. Uit de Totaalkaart worden de gebieden met boomkroonbedekking, struiken en onverhard - gras opgeteld. Agrarisch gebied is niet als groen meegenomen. De klasse onverhard is ook niet als groen meegenomen, hoewel deze wel groen kan zijn. Voor het bepalen van het niet-openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Verharding ;Deze statistieken tonen het percentage verharding op basis van de Basiskaart Groen en verharding. Uit de landbedekkingskaart is de klasse verhard gebruikt en weergegeven als percentage van het totale landoppervlakte. Er is enkel gekeken naar de buitenruimte: gebouwen zijn niet als verhard geclassificeerd. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Verharding openbaar;Deze statistieken tonen het percentage verharding voor het openbare gebied op basis van de Basiskaart Groen en verharding. Uit de landbedekkingskaart is de klasse verhard gebruikt. Er is enkel gekeken naar de buitenruimte: gebouwen zijn niet als verhard geclassificeerd. Voor het bepalen van het openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Verharding niet-openbaar;Deze statistieken tonen het percentage verharding voor het niet-openbare gebied op basis van de Basiskaart Groen en verharding. Uit de landbedekkingskaart is de klasse verhard gebruikt. Er is enkel gekeken naar de buitenruimte: gebouwen zijn niet als verhard geclassificeerd. Voor het bepalen van het niet-openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Water;De kaart toont het percentage water per buurt op basis van de Basiskaart Verharding en Groen. Uit de landbedekkingskaart is de klasse water gebruikt. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Landbedekking ;De statistieken tonen de verdeling van de landbedekking op basis van de Basiskaart Groen en verharding. Uit de Totaalkaart worden de klassen onverhard, onverhard - gras, onverhard - struiken, halfverhard, verhard en gebouwen getoond als percentage van het totale landoppervlakte. Meer informatie over de gevolgde methode vind je in het kaartverhaal.
Openbaar en niet-openbaar;De statistieken tonen de verdeling tussen openbaar gebied, niet-openbaar gebied en gebouwen op basis van de Basiskaart Groen en Verharding. Hiervoor wordt de kaart openbaar gebied en niet-openbaar gebied gebruikt. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Groen per inwoner;Deze statistieken tonen de hoeveelheid groen per inwoner op basis van de basiskaart Groen en Varharding en de CBS Wijk en Buurkaart 2024
Bevolkingsdichtheid;Deze statistieken laten het aantal inwoners per km2 zien op basis van de CBS Wijk en Buurtkaart 2022. In buurten met een hoge bevolkingsdichtheid worden veel mensen blootgesteld aan klimaateffecten. Tegelijk is de druk op de buitenruimte daar vaak hoog waardoor er minder ruimte is voor adaptiemaatregelen.
Gemiddelde WOZ-waarde;Deze statistieken laten de gemiddelde WOZ-waarde per buurt zien op basis van de Wijk- en Buurtkaart 2022 van het CBS. De WOZ-waarde geeft een indicatie van de sociaaleconomische status van een buurt. In buurten met een hoge WOZ-waarde kunnen inwoners meestal makkelijker zelf adaptatiemaatregelen nemen. 
Sociaal minimum huishoudens;Deze statistieken laten het percentage huishoudens zien dat leeft rond of onder het sociaal minimum. Deze groep is extra kwetsbaar voor hitte. Wil je meer weten over de relatie tussen sociale kwetsbaarheid en hitte? Ga dan naar het kaartverhaal.  
Hitte en broze 65-plussers;Deze statistieken laten het percentage 65-plussers zien met een broze gezondheid. Deze groep is extra kwetsbaar voor hitte. Het begrip broosheid omvat fysieke gezondheid, mentale gezondheid en sociale gezondheid. Wil je meer weten over de relatie tussen 65-plussers met een broze gezondheid en hitte? Ga dan naar het kaartverhaal.  
Ernstige eenzaamheid;Deze statistieken tonen het percentage ernstig eenzame mensen boven de 18 jaar. Deze mensen zijn extra kwetsbaar voor hitte omdat ze weinig sociale contacten hebben. Dit vergroot het risico op uitdroging en oververhitting bij een hittegolf. Ga voor meer informatie over deze statistieken naar de Buurtatlas van het RIVM. 
Moeite met rondkomen;Deze statistieken tonen het percentage mensen boven de 18 jaar dat in 2020 moeite had met rondkomen. Deze groep heeft minder financiële ruimte om maatregelen te nemen tegen hitte. Ga voor meer informatie over deze statistieken naar de Buurtatlas van het RIVM.
Ernstig overgewicht;Deze statistieken tonen het percentage mensen boven de 18 jaar met ernstig overgewicht.  Deze mensen is extra kwetsbaar voor hitte. Dit vergroot het risico op uitdroging en oververhitting bij een hittegolf. Ga voor meer informatie over deze statistieken naar de Buurtatlas van het RIVM. 
Percentage huurwoningen;Deze statistieken tonen hoeveel procent van de woningen bestaat uit huurwoningen. Voor bewoners van huurwoningen is het lastiger om grote aanpassingen te doen aan hun woning. Ze kunnen bijvoorbeeld niet zomaar zonneschermen plaatsen. De statistieken komen van de CBS Wijk- en Buurtkaart 2022.
